videoID,categoryID,channelID,title,viewCount,likeCount,commentCount,updateDate,duration,tags,thumbnailURL
xZCsM-sMNN8,2,UCeW--_lfExAL803_daBiFVg,#asmr #automobile #car #detailing #carcleaning #cleaning #cardetailing #details #carwash,12785066,473728,1537,2025-03-09T19:59:13Z,152,[],https://i.ytimg.com/vi/xZCsM-sMNN8/hqdefault.jpg
gVFaJMHTum4,2,UCK4tU5I6ohnHeq_8rbE1wWA,Powerful truck made of 4x4 with diesel engine #project,12764050,219779,180,2025-03-12T17:21:31Z,38,[],https://i.ytimg.com/vi/gVFaJMHTum4/hqdefault.jpg
qNhAkanhH5U,2,UCxGHa_vdppJNVLmQShNVnrA,Parking Lot Etiquette Gone Wrong ?,6729726,89133,611,2025-03-09T16:00:54Z,19,"['real-life heroes', 'humanity restored', 'helping people', 'compassion', 'inspirational', 'compassion stories', 'motivational', 'emotional', 'good deeds', 'feel-good videos', 'hero', 'helping others', 'kindness videos', 'human kindness', 'kindness', 'social experiments', 'uplifting videos', 'emotional stories', 'random acts of kindness', 'inspirational stories', 'touching moments', 'positive content', 'positive', 'feel-good', 'helping', 'heartwarming videos', 'kindness movement', 'motivational shorts', 'viral kindness', 'heartwarming', 'heroes']",https://i.ytimg.com/vi/qNhAkanhH5U/hqdefault.jpg
_wx4V9ip7YA,2,UCAnu8zuqomikJ58d6MsW_kw,하이브리드 연비 5년만에 줄어든다고!?,506079,3065,385,2025-03-12T09:29:07Z,55,[],https://i.ytimg.com/vi/_wx4V9ip7YA/hqdefault.jpg
JFKNvNgDflU,2,UCU-ltMMSmo03bQEx76C-zZw,SayNoToCheapFreight 🚛  #trucadao #choraboy #gasprices #trucks #fuel #18wheeler #truckingindustry,4631982,34354,407,2025-03-14T13:04:19Z,20,[],https://i.ytimg.com/vi/JFKNvNgDflU/hqdefault.jpg
AfEpTgW3Dyo,2,UCDyb7hB6TwGxP25o9hGCqwA,요즘 해외에서 유행하는 자동차 눈알,2288248,21408,1647,2025-03-04T04:03:16Z,16,[],https://i.ytimg.com/vi/AfEpTgW3Dyo/hqdefault.jpg
MKMHz7S0PT0,2,UCLgIpbxquWUnIFvWLb9v1MA,2마리의 토끼같은 자동차ㅋㅋ,545964,6520,352,2025-03-10T17:45:00Z,37,[],https://i.ytimg.com/vi/MKMHz7S0PT0/hqdefault.jpg
-jnnuaFWw1g,2,UCZ0a2TA-EzL_1KJ2vWx2cNw,땅속을 달리는(?) 마법의 자동차ㄷㄷ,121573,3790,26,2025-03-16T10:00:00Z,20,[],https://i.ytimg.com/vi/-jnnuaFWw1g/hqdefault.jpg
fB14Z76bV90,2,UC3pCBRbdO8lDFRJw9GtNL4w,지프 랭글러 구매하고 싶은데...,211058,1619,186,2025-03-14T11:01:01Z,19,[],https://i.ytimg.com/vi/fB14Z76bV90/hqdefault.jpg
MKU0UBe2jEw,2,UCCEQiGTXVdTXleZaHvePm7Q,that's what 2000 horsepower looks like #sound #lamborghini #exhaust #svj #aventador #acceleration,2169641,22602,164,2025-03-13T15:30:18Z,15,"['#aventadorsv', 'supercarsbrazil', 'lamborghini', 'automobile', ""that's what 2000 horsepower looks like #sound #lamborghini #exhaust #svj #aventador #acceleration"", '#aventadors', '#lamborghinihuracan', '#speed', 'lamborghinihuracan', 'porsche', 'ferrari', 'aventadorsv', '#hypercar', 'defender', 'speed', '#2024', 'CarEnthusiast', 'sportscar', 'huracan', '#thar', '#carsofinstagram', '#defender', 'aventador', 'svjroadster', 'tata', 'aventadors', 'gta', '#luxury', 'carsofinstagram', 'aventadorultimae', 'lamborghiniaventadorsv', 'CarCulture', 'luxurylifestyle', 'rollsroyce', 'bmw', 'AdrenalineRush', 'acceleration', 'cars', 'urus', 'race', '#carswithoutlimits', 'lamborgihini', '#porsche', '#virtus', 'lamborghiniaventador', 'exhaust', '#toyata', '2024', 'AutoPerformance', 'supercars', 'CarVideos', 'luxury', '#bmw', 'fyp', 'bugatti', '#huracanperformante', '#bugatti', '#tata', '#urus', 'v12', 'lamborghinisvj', 'verna', 'ExoticCars', 'huracanevo', '#car', 'sound', '#acceleration', 'hurracan', 'Supercars', '#fortuner', 'shorts', '#mclaren', 'svj', 'huracanperformante', 'supercar', 'SupercarSound', 'R1Motorsport', 'saopaulo', 'fy', '#maruti', '#carporn', 'thar', 'maruti', 'ultimae', 'aventadorsvj', 'motorgridbrasil', 'LamborghiniAventadorUltimae', 'swift', 'revuelto', 'ExhaustSound', 'monaco', 'supercarsofmanchester', 'carswithoutlimits', 'brasil', '#verna', 'car', 'lamborghinirevuelto', 'lamborghiniurus', '#swift', 'PerformanceCars', 'hypercar', 'toyata', 'carros', 'LamborghiniLove', 'LuxuryCars', '#luxurycars', '#svj', 'carporn', 'lamborghinisv', '#lamborghiniurus', 'luxurycar', 'fortuner', 'mclaren', 'virtus', 'motorgrid', 'luxurycars']",https://i.ytimg.com/vi/MKU0UBe2jEw/hqdefault.jpg
Jrovnptc_u4,2,UCPbxBhcZMq8NMq0EuXxGuAQ,아우디가 많이 안 팔리는 이유,276458,1865,282,2025-03-13T08:37:30Z,47,"['중고차파괴자', '중파', '아우디', '벤츠', 'bmw', '#중고차', '카푸어', 'shorts']",https://i.ytimg.com/vi/Jrovnptc_u4/hqdefault.jpg
TgCm8oDmxOk,2,UCX6OQ3DkcsbYNE6H8uQQuVA,I Crashed One Of The Most Expensive Cars In The World,34250356,1440068,5063,2025-03-14T16:00:00Z,16,[],https://i.ytimg.com/vi/TgCm8oDmxOk/hqdefault.jpg
X1_DXoKj6x8,2,UC-JrY3OsVEKmi3qgSVZ1r8A,"사이버트럭 적재함, 곡물 운반 테스트",350646,2361,32,2025-03-11T09:00:40Z,20,[],https://i.ytimg.com/vi/X1_DXoKj6x8/hqdefault.jpg
mVTEu9bGjhk,2,UCB2y4U9UpRd4Y2Lmow-Hzzg,Mercedes Benz Maybach #hrspower #history,4054004,39150,789,2025-03-11T16:36:13Z,15,[],https://i.ytimg.com/vi/mVTEu9bGjhk/hqdefault.jpg
a0TjrJqL_5c,2,UC1Sv4uLAUpPJPmnUXIESR4A,#cars #سيارات #partscar #متابعه_ولايك_فضلا_وليس_امرآ,3668850,9550,89,2025-03-04T11:22:11Z,20,[],https://i.ytimg.com/vi/a0TjrJqL_5c/hqdefault.jpg
r6m9o19E6tc,2,UC9nFMAQcn0bqIrEV9vUdU1g,람보르기니 우르스 사준다는 2살 아들ㅋㅋ,743218,14707,60,2025-03-07T14:30:05Z,60,"['아기브이로그', '육아브이로그', '육아', '육아vlog', '애기', '육아일기', '브이로그', '육퇴', '아기']",https://i.ytimg.com/vi/r6m9o19E6tc/hqdefault.jpg
dxRUaNjPuzg,2,UC35F9WnUgEoY_Pd2jOy5Ktg,고속도로에서 기어가는 차 특징,1615547,34214,3485,2025-03-02T16:41:41Z,58,"['DriverProblems', '급발진', 'DrivingStruggles', '운전스트레스', '공감애니', '고속도로', '추월', '고속도로운전', 'DriverMemes', '운전공감', '애니메이션', 'SlowCars', '블랙박스', 'HighwayTraffic', '운전자특징', 'animation', '운전공감애니', 'FunnyAnimation', '운전자', '일상공감', '운전매너', '자동차']",https://i.ytimg.com/vi/dxRUaNjPuzg/hqdefault.jpg
a5LSKWl9IC8,2,UCxqMVa2tT-1NaOa2n0mpNTQ,굴착기 타이어 위력,176860,656,10,2025-03-14T08:00:01Z,29,"['타이어프로', 'excavator', '타이어', '굴착기']",https://i.ytimg.com/vi/a5LSKWl9IC8/hqdefault.jpg
2N7pZSSKhKE,2,UCM7lS3kI_xnDCdWndUybZRA,차량꿀템 2가지 #차량용품 #차량꿀템 #자동차용품,341245,1034,0,2025-03-11T01:21:29Z,16,[],https://i.ytimg.com/vi/2N7pZSSKhKE/hqdefault.jpg
