channelID,channelTitle,subscriberCount,totalViews,videosCount
UCEcuyrAqhRVUmRdOd6FGKSw,기리TV,1110000,1450936113,2991
UC-okJdotaXPlzivRzHFqzuA,인피쉰,576000,794355127,5712
UCig46B9QqbQPlt9nwyk4YtA,서도일,115000,32537245,416
UCHHRRcn1zdzcfFJWyz3_V3g,크쀠,42000,8119237,430
UCIPmQnugroDAvYIPyAEMb7A,구칠이,163000,67132126,787
UCSgvQDek_7CQj08fu7kp1Iw,중년게이머 김실장,413000,171614130,564
UCw-JzmPsjRcbzJLncr4pIIA,수탉,953000,642760744,1820
UCunQJrd9yphZEH0Etwjnabw,스맵,171000,49842175,496
UCL_IvtOZo6sONpiydbzzHpA,JUNE,673000,1004247034,1923
UCcXUxxDN7yjNsaDqC2J6jQA,개신사,113000,43197620,604
UCl4nBkmJCDs6RR8uWldAqLA,텔론,1070000,1358517269,5331
UCb5NLtXAsTBrmaZVhyFa-Wg,글자네,568000,591400314,2645
UCcgkgKhXT6QwdGj9Nr8PBcg,게임대장봉준,76500,29900192,315
UCTZPZo3xuW5k6RkhlVaJ0jQ,김뚜띠,271000,270575625,1862
UCpI-AhCT02iQRGLC2ZcY0Jw,영미터,255000,320833889,4874
UCRkC1NIdV0ttireYczHPLbQ,평학,146000,7034885,72
UC8rbhIem-3aAsNXhTDI-nSA,행돌,265000,201319635,1264
UCVJT18d9wSCnDUdnJ9ycO7Q,동수칸TV,543000,639022231,5694
UC-S8JFhLkQ5enhB70c2CYIw,왈도쿤,379000,444670962,2605
UCm3SDarPtTOS_NjCh9d3TDQ,[하말넘많] heavytalker,676000,330257867,1112
UC6w43bdyvx21dHu9gfQjS2g,이웃집사장,232000,2059583,84
UCmbGE7Y2ov7pTBuUrkXgtTQ,할명수,1570000,495355624,861
UCpGmwseGcRtyG8GxRmozKPA,유네린LIN,319000,74014351,417
UCMDz2c1fx9jkK9aVENUCdUw,터틀이주미,253000,13683466,39
UCU1ECZb8wRxg6iVMBDfl3GA,연늘,70700,15325658,188
UCnnt-d-DDgO4_9tL-icCjMQ,규진,223000,35179253,211
UCaS2hR-Nz2TnBhD68RQvDig,쏨따TV,13400,11457777,362
UC7EgEOd6UKUHZHcvcb4ERsw,지새기의 인간극장,104000,16370420,137
UCd0pqkoWoVbxNH4N3dsetqA,장이나 Ena J,331000,68606438,336
UCv__cBuY9kyTWJje947ysFQ,나는아영 IamAhyoung,60600,22641452,455
UCX7JYcZIbRUxXaFMKDXLxtA,고나윤 Nayun Ko,115000,9218559,175
UCuDUt0EtAygfXH3-LKPWzMw,우림이씨,73200,12222797,273
UCZB8FKm68UQPGWKebOel4Pw,수쩡민,315000,57509630,115
UCnz0ghEwEpUcFR-ESkfKXEg,투트랙,177000,16588412,979
UCDSj40X9FFUAnx1nv7gQhcA,월급쟁이부자들TV,1910000,617180424,3032
UCSfs2OeyOX0r5ZucDho8voQ,НИКОЛАЙ ПО-КОРЕЙСКИ,381000,143652819,858
UConnM5zwOP9vG_LPTYbRsAg,Lâm Vlog,10600000,4184684037,689
UCmV0FwFQrNlNgxFKFu7MReg,Kdrama,16200,35400057,1409
UCGCWLJIxhjAT7uN3ghhd2fw,쌀툰,29500,12570761,119
UCKBuu5fcf-n8Ex45SRx5cwg,핵잼박스 - 1분 순삭,136000,366128231,537
UCg8iq1rK87jJLpVc24iRypQ,썰푸집,72700,14273489,53
UCzucXSFjhZb10mqjXHXTo5Q,한살차이 [Hansal],1370000,2553235843,630
UCBP9m4-77BpUCPX14sPaItw,우기유니,231000,103940578,107
UCeFCPQuMsLsMoJ0EO1Xm7Kw,명언의 선율,144000,172696449,968
UC71TbR88ZOAsa8-JG3UD3pw,쇼츠타르트,495000,1219397623,1029
UCWJcyi-Rpll9CZ1MFS9OWwg,빵공장,25000,23711039,178
UCikSO7mSQl-lx3BJOBzqA8w,짠한형 신동엽,1740000,352484203,318
UCh9ssfhbHbALUevPJ2I-pIQ,우도준,153000,53119874,282
UCA78q21_ylajHgElLPg44MA,쇼츠공장,180000,563865858,522
UCOOKj-kWvrsK8CDfHZTw9lw,Pixid,710000,395149222,376
UCrxe-Msh2j6ICbfUaDJj81g,이슈카톡,289000,638077732,1918
UCtfgw7QCPegh43N8clibnCA,치츄영업사원,57600,181663710,763
UCzsI83uQ4rrFk8a4cYggkcQ,1분순삭,349000,1983000009,1314
UCEllsk9BsIsvnBO3oYYb9JA,사나이주먹불끈,25400,35963738,80
UC6yEsiYQjnLve24g34lVa1w,낭만박상환,787000,2050030019,1237
UC1IgtRvQKgQTStE4MGFafPA,숏! 무비중심,36800,72843183,172
UCm43qB4VP47Er31Egu6CTxg,예능국장님,52900,162071316,573
UCVyQz2JomW33D2JGo6KAB9Q,드라마스토리,48100,229061686,400
UC9sJx0j0AbtRQX55PTdsyJg,코밈 KOMEME,543000,864921487,712
UCg6N52snDwhatFhprYkVuOQ,네자매모먼트 [4sisters],215000,211637901,117
UCMlHg5anGEDTbXC0hIVNzPw,K썩은물,187000,992038224,1003
UCAMPl1v93Xem81K0ZETWg7Q,식빵티비,13200,84245248,130
UCbQfoR7-qOKsDQrRa5jt3Lg,출구없는 경수,11600,36393391,452
UC94AtgHV117riLPuLFzGRAw,케이팝있쥬?,30600,196919540,347
UCIqdzRXgsXoAEwl-FINmA0A,썰해적단,110000,95383045,235
UCw_osRh60_cWsVXEaROW0eA,짤PT,11300,37340641,102
UCTmrCBHyMN7lde4p-lTX9nQ,원더맨 WonderMan,990000,710978329,765
UCeEFqSLLlCXmtDunMzKw9DQ,뽀잉LoOks,49000,166720361,852
UC28ZaYb3rndARqhK03Y5tog,전핑콩,173000,248741295,234
UCs4wUolAHK6DONFmUBJIOHA,세아쌤Seah Ssam,1200000,2089611832,709
UC6kZpTl39-_SqfBrF1-N2oQ,연합뉴스경제TV,748000,432147375,17937
UCWlV3Lz_55UaX4JsMj-z__Q,뉴스TVCHOSUN,2670000,3478355722,132227
UCuka4cOMWar3MM0WDtE9ehw,애국청년김태풍,137000,84280711,471
UC3pQK8hrDpoa3j9n_p9dSrw,짧뉴(짧은뉴스),549000,790599181,4216
UCAAvO0ehWox1bbym3rXKBZw,김어준의 겸손은힘들다 뉴스공장,2070000,977855837,1328
UCMT_LGvfXb16aHYwmJlC7dg,자우소,296000,225765648,1092
UCbouR-45rChK6ou95zSlNxA,사이다 이슈-시사뉴스,13100,6111833,477
UCdp4_yTBhQmB8E339Lafzow,조선일보,1650000,1573081590,21474
UCsU-I-vHLiaMfV_ceaYz5rQ,JTBC News,4380000,13071288015,238249
UCsJ6RuBiTVWRX156FVbeaGg,슈카월드,3530000,1302422309,1921
UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,5450000,21156485598,303048
UCMEbRpvuwTbXxGiyDb1mT8w,비디오머그 - VIDEOMUG,1690000,2567186324,10341
